"Item Name","Item Description","Department Name","Custom Field 3","Vendor Name","Custom Field 1","Regular Price","MSRP","Attribute","Custom Field 2","Size","Qty 1","On Order Qty","Custom Field 4","Custom Field 5","END","Silver & Gold "
"PV30343W-CL","PV30343W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,"Full Product Description ","Earrings",,
"PV30329W","PV30329W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV30326W","PV30326W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV30212W","PV30212W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV30209W-CL","PV30209W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV30038W-CL","PV30038W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV25889W-CL","PV25889W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20702W","PV20702W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20686-BLK","PV20686-BLK","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20673W","PV20673W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20671W","PV20671W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20664W","PV20664W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20663W","PV20663W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20662W","PV20662W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20660W-2T","PV20660W-2T","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20659W","PV20659W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20658W-2T","PV20658W-2T","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20651W","PV20651W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20627W-CL","PV20627W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20625W-CL","PV20625W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20602W","PV20602W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20571W","PV20571W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20559W-CL","PV20559W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20546W-CT","PV20546W-CT","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20546W-CL","PV20546W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20537W","PV20537W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20534W","PV20534W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20530W-CL","PV20530W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20525W","PV20525W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20500W","PV20500W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20494W-CL","PV20494W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20493W-CL","PV20493W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20492W-CL","PV20492W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20491W-CL","PV20491W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20487W","PV20487W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20480W","PV20480W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20475W","PV20475W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20470W","PV20470W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20449W","PV20449W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20434W","PV20434W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20432W-CL","PV20432W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20429W-CL","PV20429W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20407W-CL","PV20407W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20394W-CL","PV20394W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20386W","PV20386W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20378W","PV20378W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20356W-CL","PV20356W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20337W-CL","PV20337W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20335W-CL","PV20335W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20332W","PV20332W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20331W-CL","PV20331W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20311W-CL","PV20311W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20296W-CL","PV20296W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20295W-CL","PV20295W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20286W-CL","PV20286W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20234W-CL","PV20234W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20224W","PV20224W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20222W-CL-G","PV20222W-CL-G","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Earrings",,
"PV20222W-CL","PV20222W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20216W-BLK","PV20216W-BLK","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20208WS-CL","PV20208WS-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20208W-CL","PV20208W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Earrings",,
"PV20196W-CL","PV20196W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20195W-CL","PV20195W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20193W-CL-BLK","PV20193W-CL-BLK","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20193W-CL","PV20193W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20183W-CL-G","PV20183W-CL-G","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Earrings",,
"PV20183WS-CL","PV20183WS-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20152W-CL-G","PV20152W-CL-G","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Earrings",,
"PV20152W-CL","PV20152W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20151WSG-CT","PV20151WSG-CT","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20150W-W-CL-G","PV20150W-W-CL-G","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Earrings",,
"PV20150W-CL","PV20150W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20150W-BLK-CL","PV20150W-BLK-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20141-CL-CT","PV20141-CL-CT","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20119W","PV20119W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20103W","PV20103W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20066W-CL","PV20066W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20048W","PV20048W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20043W-CL","PV20043W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20039W-CL","PV20039W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20038W-CL","PV20038W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20036W-CL-G","PV20036W-CL-G","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Earrings",,
"PV20036W-CL","PV20036W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20035W-CL","PV20035W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20008W-CL-CT","PV20008W-CL-CT","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Earrings",,
"PV20007W-W-CL","PV20007W-W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20002W-CL","PV20002W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"PV20001W-CL-G","PV20001W-CL-G","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Earrings",,
"PV20001W-CL","PV20001W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Earrings",,
"P10113W-CL","P10113W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV101164-W-G","PV101164-W-G","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"gold.metal","Silver & Gold ","1",2,4,,"Rings",,
"PV20356W-CL","PV20356W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV15794W-CL","PV15794W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10549W-CL","PV10549W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10488W-CL","PV10488W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10453W","PV10453W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10430W","PV10430W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10427W","PV10427W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10426W","PV10426W","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10399-CL","PV10399-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10395W-CL","PV10395W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10387W-CL","PV10387W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10383W-CL","PV10383W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10382W-CL","PV10382W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
"PV10381W-CL","PV10381W-CL","Diamonever","Jewelry and Accessories","System","1/19/2011",0,0,"sterling.silver","Silver & Gold ","1",2,4,,"Rings",,
